,Cuauhtémoc,Gustavo A. Madero,Iztapalapa,Tlalpan,Coyoacán,Venustiano Carranza,La Magdalena Contreras,Miguel Hidalgo,Azcapotzalco,Xochimilco,Tláhuac,Iztacalco,Álvaro Obregón,Cuajimalpa de Morelos,Benito Juárez,Milpa Alta
Centros de acondicionamiento físico del sector privado,145,267,392,141,114,79,49,93,73,97,97,78,147,49,125,29
Clubes deportivos del sector privado,6,2,4,5,8,0,1,7,3,5,0,0,5,3,4,0
Centros de acondicionamiento físico del sector público,12,34,26,23,17,13,19,13,9,17,14,16,23,9,8,13
Clubes o ligas de aficionados,7,7,6,2,1,8,4,2,1,6,0,1,4,1,1,0
Campos de golf,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0
Equipos deportivos profesionales,0,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0
Clubes deportivos del sector público,1,3,0,2,0,0,1,0,1,0,0,0,1,1,0,0
Deportistas profesionales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
