ALCALDIA,HISTORIC_PERCENTAGE
Álvaro Obregón,0.06125
Azcapotzalco,0.03375
Benito Juárez,0.056875
Coyoacán,0.059375
Cuajimalpa de Morelos,0.02875
Cuauhtémoc,0.165
Gustavo A. Madero,0.1125
Iztacalco,0.02875
Iztapalapa,0.169375
La Magdalena Contreras,0.01625
Miguel Hidalgo,0.06375
Milpa Alta,0.006875
Tlalpan,0.06625
Tláhuac,0.034375
Venustiano Carranza,0.0675
Xochimilco,0.029375
