Alcaldias,Lineas de metro,Lineas de metrobus,Estaciones Ecobici,LineasRTP
Álvaro Obregón,3,1,17,28
Azcapotzalco,2,2,28,9
Benito Juárez,4,3,213,18
Coyoacán,2,2,37,31
Cuajimalpa de Morelos,0,0,0,13
Cuauhtémoc,7,5,243,13
Gustavo A. Madero,5,5,0,18
Iztacalco,5,3,0,9
Iztapalapa,3,2,0,22
La Magdalena Contreras,0,0,0,5
Miguel Hidalgo,4,2,139,23
Milpa Alta,0,0,0,6
Tláhuac,1,0,0,9
Tlalpan,0,2,0,24
Venustiano Carranza,6,2,0,9
Xochimilco,0,1,0,15
